localTeam,visitorTeam,localGoals,visitorGoals
Korea Republic,Costa Rica,1,0
Brazil,Japan,3,0
England,Sweden,3,3
Sweden,Japan,2,2
England,Brazil,1,3
Colombia,Nigeria,1,0
Mexico,Colombia,0,0
Switzerland,Germany,1,2
Mexico,Nigeria,2,1
Argentina,Australia,2,0
Colombia,Peru,1,1
Brazil,Peru,2,0
Brazil,Colombia,3,0
Uruguay,Mexico,1,1
Tunisia,Senegal,4,0
Brazil,Argentina,2,2
Uruguay,Colombia,2,0
Algeria,Tunisia,2,1
Uruguay,Brazil,1,1
Japan,Costa Rica,3,0
Japan,Brazil,1,5
Korea Republic,Brazil,0,1
France,Poland,1,1
Iceland,Switzerland,0,2
Belgium,Germany,1,2
Belgium,Denmark,1,3
England,Colombia,0,0
Sweden,Switzerland,0,0
Spain,Argentina,2,1
Argentina,Colombia,0,0
Brazil,Uruguay,2,0
Denmark,Spain,1,1
Mexico,Saudi Arabia,2,1
Japan,Saudi Arabia,2,1
Japan,Saudi Arabia,2,1
Korea Republic,Saudi Arabia,1,1
Tunisia,Algeria,2,0
Argentina,Brazil,0,1
England,Switzerland,3,1
Mexico,Serbia,1,4
Mexico,Colombia,2,2
England,Portugal,1,1
Brazil,Colombia,3,1
Morocco,Tunisia,3,1
Mexico,Brazil,2,0
Iceland,Russia,0,3
Australia,Japan,1,4
Australia,Japan,3,0
Japan,Poland,5,0
Portugal,Germany,1,2
Japan,Sweden,1,1
Australia,Sweden,0,2
Australia,Sweden,0,0
Croatia,Poland,2,1
Croatia,Korea Republic,3,0
Korea Republic,Morocco,2,2
Belgium,France,0,2
Germany,Denmark,2,0
Belgium,Russia,0,0
England,Croatia,0,0
Korea Republic,Sweden,0,2
Mexico,Serbia,0,0
Japan,Serbia,1,0
Tunisia,Senegal,2,0
Japan,Mexico,3,2
Germany,France,0,1
Peru,Colombia,1,1
Russia,Poland,2,0
England,Switzerland,1,1
Denmark,Portugal,1,1
France,Spain,1,1
Croatia,Denmark,3,0
Russia,Germany,0,3
Croatia,Portugal,0,3
England,Spain,0,0
Germany,Croatia,2,1
England,Germany,1,1
Colombia,Uruguay,3,1
Peru,Argentina,0,0
Peru,Costa Rica,3,0
Sweden,Denmark,0,1
Japan,Uruguay,5,3
Russia,Brazil,2,2
France,Mexico,2,0
Poland,Germany,0,2
England,Poland,2,1
Saudi Arabia,Australia,0,0
Japan,Tunisia,1,0
Costa Rica,Panama,2,0
Denmark,France,1,0
Korea Republic,Colombia,4,1
Morocco,Croatia,2,2
Saudi Arabia,Iran,0,3
Morocco,Nigeria,2,0
Portugal,Germany,0,0
Spain,Serbia,2,0
Uruguay,Peru,2,0
Korea Republic,Iran,2,6
Iran,Saudi Arabia,0,0
Argentina,Serbia,2,3
Tunisia,Algeria,0,0
Uruguay,Argentina,0,0
Australia,Korea Republic,2,1
Mexico,Peru,0,0
Portugal,France,0,2
Russia,Serbia,1,1
Russia,Switzerland,2,1
Colombia,Argentina,0,1
Japan,Sweden,0,1
Brazil,Poland,4,2
Costa Rica,Mexico,0,0
Croatia,Denmark,1,1
England,Mexico,2,0
France,Sweden,1,0
Brazil,Mexico,4,0
Colombia,Peru,0,1
Japan,Korea Republic,1,1
Sweden,Poland,2,2
Poland,England,0,2
Tunisia,Algeria,0,1
France,Brazil,1,1
Senegal,Algeria,0,0
France,England,0,1
Argentina,Peru,2,0
Japan,Croatia,4,3
Uruguay,Colombia,1,1
England,Brazil,0,1
Peru,Uruguay,1,0
Brazil,Costa Rica,5,0
Mexico,Colombia,2,1
Brazil,Mexico,3,2
Colombia,Costa Rica,4,1
Korea Republic,Serbia,1,1
Brazil,Colombia,2,0
Mexico,Costa Rica,1,1
Peru,Argentina,2,1
Brazil,Peru,7,0
Mexico,Peru,1,0
Morocco,Senegal,3,0
Tunisia,Nigeria,2,0
Korea Republic,Brazil,1,2
Japan,Brazil,0,3
Russia,Serbia,0,1
Peru,Colombia,2,1
Germany,Portugal,1,1
Denmark,Croatia,3,1
Peru,Uruguay,2,1
Iran,Saudi Arabia,1,1
Japan,Korea Republic,1,2
Brazil,Morocco,2,0
Argentina,Uruguay,0,0
Saudi Arabia,Iran,1,0
Korea Republic,Japan,0,2
Mexico,Costa Rica,3,3
Argentina,Colombia,1,1
Japan,Iran,3,2
Iran,Australia,1,1
Australia,Iran,2,2
Saudi Arabia,Iceland,0,0
Mexico,Australia,1,3
Saudi Arabia,Brazil,0,3
Australia,Brazil,0,0
Saudi Arabia,Mexico,0,5
Brazil,Mexico,3,2
Saudi Arabia,Australia,1,0
Uruguay,Australia,0,1
Brazil,Australia,6,0
France,Spain,1,0
Iran,Nigeria,0,1
Tunisia,Serbia,0,3
Australia,Korea Republic,1,0
Australia,Japan,0,3
Saudi Arabia,Germany,0,3
Argentina,Serbia,3,1
Japan,Korea Republic,2,1
Colombia,Serbia,0,0
Germany,Brazil,1,2
Russia,France,1,0
Spain,Sweden,4,0
Switzerland,England,1,1
Korea Republic,Japan,2,1
Mexico,Peru,1,0
Croatia,Poland,4,1
England,Portugal,3,0
Germany,Nigeria,1,0
Sweden,France,0,0
Brazil,Argentina,0,1
Iceland,Saudi Arabia,1,1
England,Saudi Arabia,0,0
Belgium,France,0,1
Morocco,England,0,1
Poland,Russia,3,1
Sweden,Denmark,3,0
Belgium,England,0,0
Morocco,France,2,2
Germany,Colombia,3,1
Japan,Mexico,1,2
Belgium,Colombia,2,0
Croatia,Iran,2,0
Saudi Arabia,Mexico,0,0
Croatia,Australia,7,0
Switzerland,Serbia,1,1
Saudi Arabia,Denmark,0,1
Korea Republic,Mexico,1,3
Spain,Nigeria,2,3
Argentina,Japan,1,0
England,Tunisia,2,0
Brazil,Morocco,3,0
France,Saudi Arabia,4,0
Belgium,Mexico,2,2
Japan,Croatia,0,1
Germany,Serbia,2,2
Colombia,Tunisia,1,0
France,Denmark,2,1
Belgium,Korea Republic,1,1
Germany,Iran,2,0
Argentina,Croatia,1,0
Colombia,England,0,2
Nigeria,Denmark,1,4
Germany,Mexico,2,1
Argentina,England,2,2
Brazil,Denmark,3,2
Germany,Croatia,0,3
France,Croatia,2,1
France,Brazil,3,0
Sweden,Russia,1,0
Morocco,Senegal,2,0
Iceland,France,1,1
Sweden,England,2,1
Saudi Arabia,Senegal,3,2
Brazil,Serbia,1,1
Spain,Russia,1,0
Russia,France,2,3
Iceland,Russia,1,0
Switzerland,Denmark,1,1
Brazil,Russia,5,1
France,Morocco,1,0
Colombia,Germany,3,3
Croatia,Denmark,0,1
England,France,0,2
Mexico,Argentina,0,1
Tunisia,Sweden,0,1
Senegal,Nigeria,1,1
England,Poland,3,1
Korea Republic,Brazil,1,0
Japan,Brazil,0,2
Poland,Sweden,0,1
Spain,Croatia,3,1
Belgium,Peru,1,1
Japan,Belgium,0,0
England,Sweden,0,0
France,Russia,2,3
Korea Republic,Belgium,1,2
Japan,Peru,0,0
Tunisia,Algeria,2,0
Mexico,Argentina,2,2
Russia,Iceland,1,0
Korea Republic,Mexico,1,1
Brazil,Poland,2,0
Croatia,Mexico,2,1
Colombia,Peru,3,3
Korea Republic,Croatia,1,1
Peru,Japan,3,2
Uruguay,Colombia,0,1
Brazil,Mexico,2,1
Argentina,Colombia,0,3
Uruguay,Argentina,0,2
Mexico,Peru,3,3
Brazil,Argentina,2,1
Mexico,Brazil,0,2
Costa Rica,Saudi Arabia,1,0
Brazil,Uruguay,3,0
Brazil,Germany,4,0
Mexico,Saudi Arabia,5,1
Brazil,Saudi Arabia,8,2
Mexico,Brazil,4,3
Poland,Spain,1,2
Uruguay,Costa Rica,5,4
Argentina,Brazil,2,0
Denmark,Switzerland,2,1
Belgium,Morocco,4,0
Brazil,Argentina,4,2
Japan,Iran,1,1
Poland,England,0,0
Croatia,Serbia,2,2
France,Iceland,3,2
Sweden,Poland,2,0
Denmark,Iran,0,0
England,Belgium,2,1
Argentina,Colombia,2,1
Mexico,Colombia,0,0
France,Croatia,3,0
Spain,Brazil,0,0
Spain,Argentina,0,2
Morocco,Senegal,0,0
Mexico,Iran,2,1
Nigeria,Tunisia,4,2
Spain,Poland,3,0
Tunisia,Morocco,0,0
Nigeria,Morocco,2,0
Japan,Mexico,0,1
Nigeria,Senegal,2,1
Korea Republic,Costa Rica,2,2
Belgium,Portugal,1,1
Colombia,Peru,2,1
Croatia,Spain,0,0
England,Argentina,0,0
France,Poland,1,0
Colombia,Brazil,0,0
Croatia,Germany,1,1
Portugal,Denmark,2,1
Denmark,Sweden,0,1
Germany,Switzerland,1,1
Korea Republic,Japan,1,0
England,Brazil,1,1
Croatia,France,0,2
Korea Republic,Serbia,0,0
Korea Republic,Serbia,0,0
Denmark,Belgium,2,2
Sweden,Spain,1,1
France,Japan,2,2
Peru,Brazil,0,1
Morocco,France,1,5
Belgium,Sweden,2,1
France,Denmark,3,0
Tunisia,Senegal,4,1
Portugal,England,3,2
Algeria,Senegal,1,1
England,Germany,1,0
Portugal,Germany,3,0
Spain,France,1,2
Brazil,Uruguay,1,1
France,Portugal,2,1
Tunisia,Algeria,2,2
Colombia,Argentina,1,3
Costa Rica,Panama,5,1
Morocco,Algeria,2,1
Panama,Mexico,0,1
Peru,Colombia,0,1
Brazil,Argentina,3,1
Uruguay,Peru,0,0
Colombia,Uruguay,1,0
Germany,Spain,4,1
Iceland,Sweden,2,1
Belgium,Croatia,0,0
France,England,1,1
Iceland,Denmark,1,2
Switzerland,Russia,0,1
Mexico,Panama,7,1
Peru,Argentina,1,2
Australia,Korea Republic,2,4
England,Germany,0,1
Argentina,Uruguay,2,1
Saudi Arabia,Japan,1,4
Iran,Korea Republic,1,2
Korea Republic,Saudi Arabia,1,2
Japan,Saudi Arabia,1,0
Brazil,Colombia,1,0
Denmark,Germany,2,1
Poland,Iceland,1,0
Tunisia,Switzerland,1,1
Japan,Korea Republic,1,1
Mexico,Argentina,0,2
Tunisia,Morocco,0,1
Mexico,Colombia,2,3
Morocco,Korea Republic,1,1
Morocco,Senegal,0,0
France,Germany,1,0
Colombia,Australia,3,2
England,Spain,3,0
Switzerland,Poland,0,4
Mexico,Brazil,3,3
France,Japan,5,0
Morocco,Tunisia,2,0
Spain,France,2,1
Senegal,Algeria,3,0
Iran,Korea Republic,0,1
Brazil,Peru,1,1
France,Portugal,4,0
Spain,Japan,1,0
Switzerland,Sweden,0,2
Algeria,Morocco,1,2
England,Mexico,4,0
Korea Republic,France,0,5
Mexico,Australia,0,2
Panama,Costa Rica,1,2
Australia,France,1,0
Korea Republic,Mexico,2,1
Russia,Serbia,1,1
Argentina,Colombia,3,0
France,Mexico,4,0
Korea Republic,Australia,1,0
Japan,Brazil,0,0
France,Brazil,2,1
Japan,Australia,1,0
Australia,Brazil,1,0
Japan,France,0,1
Mexico,Costa Rica,1,2
Uruguay,Brazil,1,0
Japan,Serbia,1,0
Brazil,Mexico,0,1
Senegal,Morocco,1,0
Brazil,Peru,2,0
Uruguay,Costa Rica,1,1
Peru,Mexico,1,0
Uruguay,Costa Rica,2,1
Colombia,Peru,3,0
Mexico,Uruguay,2,1
Colombia,Mexico,1,0
Brazil,Panama,5,0
France,Denmark,1,0
Iceland,Poland,1,1
Japan,Australia,3,0
Colombia,Peru,0,1
Iran,Saudi Arabia,2,0
Germany,England,1,5
Switzerland,Serbia,1,2
Peru,Uruguay,0,2
Argentina,Brazil,2,1
Korea Republic,Nigeria,2,2
Korea Republic,Nigeria,2,1
Saudi Arabia,Iran,2,2
Japan,Senegal,0,2
Croatia,Belgium,1,0
Denmark,Iceland,6,0
France,Algeria,4,1
Russia,Switzerland,4,0
Costa Rica,Mexico,0,0
Japan,Nigeria,2,2
Uruguay,Colombia,1,1
Argentina,Peru,2,0
Korea Republic,Senegal,0,1
England,Sweden,1,1
Korea Republic,Croatia,2,0
Australia,France,1,1
Korea Republic,Croatia,1,1
Spain,Mexico,1,0
Uruguay,Argentina,1,1
Australia,Uruguay,1,0
Uruguay,Australia,3,0
Senegal,Algeria,1,0
Saudi Arabia,Iceland,1,0
Algeria,Nigeria,0,1
Mexico,Korea Republic,0,0
Costa Rica,Korea Republic,3,1
Senegal,Tunisia,0,0
Saudi Arabia,Brazil,0,1
Nigeria,Senegal,1,2
Mexico,Serbia,1,2
Saudi Arabia,Denmark,0,1
Spain,Portugal,1,1
Uruguay,Korea Republic,2,1
Brazil,Iceland,6,1
Tunisia,Korea Republic,0,0
Brazil,Serbia,1,0
Poland,Japan,0,2
Saudi Arabia,Uruguay,3,2
Sweden,Switzerland,1,1
France,Russia,0,0
Germany,Argentina,0,1
Japan,Costa Rica,1,1
Portugal,Brazil,1,1
Korea Republic,Costa Rica,2,0
Costa Rica,Colombia,1,2
Mexico,Colombia,2,1
Belgium,Algeria,0,0
Saudi Arabia,Senegal,3,2
France,Belgium,1,2
Russia,Serbia,1,1
Korea Republic,England,1,1
Japan,Sweden,1,1
Belgium,Costa Rica,1,0
Denmark,Tunisia,2,1
Korea Republic,France,2,3
France,Senegal,0,1
Germany,Saudi Arabia,8,0
Uruguay,Denmark,1,2
Argentina,Nigeria,1,0
England,Sweden,1,1
Croatia,Mexico,0,1
Japan,Belgium,2,2
Korea Republic,Poland,2,0
Russia,Tunisia,2,0
Denmark,Senegal,1,1
France,Uruguay,0,0
Argentina,England,0,1
Sweden,Nigeria,2,1
Japan,Russia,1,0
Portugal,Poland,4,0
Tunisia,Belgium,1,1
Denmark,France,2,0
Senegal,Uruguay,3,3
Nigeria,England,0,0
Sweden,Argentina,1,1
Costa Rica,Brazil,2,5
Belgium,Russia,3,2
Japan,Tunisia,2,0
Korea Republic,Portugal,1,0
Denmark,England,0,3
Sweden,Senegal,1,2
Brazil,Belgium,2,0
England,Brazil,1,2
Korea Republic,Spain,0,0
Korea Republic,Germany,0,1
Germany,Brazil,0,2
Poland,Belgium,1,1
Russia,Sweden,1,1
Tunisia,France,1,1
England,Portugal,1,1
Iran,Morocco,1,1
Portugal,Tunisia,1,1
Senegal,Nigeria,2,2
Sweden,Portugal,2,3
Denmark,Poland,2,0
France,Serbia,3,0
Japan,Argentina,0,2
Korea Republic,Brazil,2,3
Mexico,Argentina,0,1
Uruguay,Iran,1,1
Algeria,Belgium,1,3
Croatia,Poland,0,0
England,Australia,1,3
Mexico,Colombia,0,0
Morocco,Senegal,1,0
Spain,Germany,3,1
Tunisia,Sweden,1,0
Panama,Costa Rica,0,1
Japan,Uruguay,2,2
Croatia,Belgium,4,0
Korea Republic,Colombia,0,0
Portugal,Brazil,2,1
Korea Republic,Japan,0,1
Belgium,Poland,3,1
Germany,Serbia,1,0
Mexico,Brazil,0,0
Sweden,Croatia,1,2
Tunisia,Senegal,1,0
Japan,Korea Republic,0,1
England,Serbia,2,1
Switzerland,Russia,2,2
Japan,Argentina,1,4
Korea Republic,Uruguay,0,2
Korea Republic,Argentina,0,1
Nigeria,Brazil,0,3
Sweden,Poland,3,0
France,Colombia,1,0
France,Japan,2,1
Japan,Colombia,0,1
Mexico,Brazil,1,0
Argentina,Uruguay,2,2
Colombia,Brazil,0,2
Mexico,Costa Rica,2,0
Peru,Uruguay,3,4
Mexico,Brazil,1,0
Uruguay,Peru,1,0
Argentina,Uruguay,3,2
England,Croatia,3,1
Japan,Nigeria,3,0
Mexico,Peru,1,3
Switzerland,France,0,2
Iceland,Germany,0,0
Portugal,Spain,0,3
Colombia,Brazil,1,2
Belgium,Croatia,2,1
Japan,Senegal,0,1
Poland,Sweden,0,2
Russia,Switzerland,4,1
Tunisia,Japan,0,1
Germany,Iceland,3,0
Tunisia,Morocco,0,0
Mexico,Uruguay,0,2
Germany,France,0,3
England,Denmark,2,3
Peru,Brazil,1,1
Poland,Serbia,4,3
Brazil,Uruguay,3,3
Colombia,Argentina,1,1
Mexico,Iceland,0,0
Japan,Korea Republic,0,0
Nigeria,Morocco,0,1
Tunisia,Senegal,1,0
Morocco,Algeria,3,1
Tunisia,Nigeria,1,1
Tunisia,Morocco,2,1
Belgium,France,0,2
Croatia,Germany,1,2
Morocco,Switzerland,2,1
Portugal,England,1,1
Spain,Peru,2,1
Germany,Belgium,3,0
Mexico,Costa Rica,2,0
Peru,Colombia,0,2
Spain,Denmark,2,0
Sweden,England,1,0
Morocco,Argentina,0,1
Portugal,Sweden,2,2
France,Brazil,0,0
Iceland,Japan,2,3
England,Japan,1,1
Uruguay,Peru,1,3
Brazil,Argentina,3,1
Switzerland,Germany,0,2
Denmark,Croatia,1,2
England,Iceland,6,1
Sweden,Poland,3,1
Colombia,Uruguay,5,0
Spain,Russia,1,0
France,England,2,1
Switzerland,Croatia,0,0
Portugal,Russia,2,0
Croatia,France,2,2
England,Switzerland,3,0
Portugal,Spain,1,0
Croatia,England,2,4
Switzerland,France,1,3
Denmark,Sweden,2,2
Portugal,England,2,2
Argentina,Colombia,0,2
Argentina,Peru,2,1
Nigeria,Algeria,1,0
Mexico,Uruguay,2,2
Argentina,Mexico,0,1
Brazil,Costa Rica,4,1
Peru,Colombia,2,2
Argentina,Uruguay,4,2
Japan,Serbia,1,0
Colombia,Costa Rica,2,0
Peru,Argentina,0,1
Mexico,Brazil,0,4
Argentina,Colombia,3,0
Uruguay,Brazil,1,1
Colombia,Uruguay,1,2
Argentina,Brazil,2,2
Japan,Iran,0,0
Korea Republic,Iran,3,4
Japan,Argentina,1,2
Poland,Denmark,1,5
Morocco,Tunisia,1,1
Peru,Argentina,1,3
Germany,Brazil,1,1
Poland,England,1,2
Sweden,Croatia,0,1
Argentina,Uruguay,4,2
Iran,Germany,0,2
Spain,Belgium,2,0
Brazil,Colombia,0,0
Iceland,Sweden,1,4
Portugal,Russia,7,1
Algeria,Senegal,1,2
Belgium,Serbia,0,2
France,Poland,0,0
Spain,England,1,0
Japan,Germany,0,3
Iran,Panama,1,0
Korea Republic,Germany,3,1
Colombia,Korea Republic,2,1
Sweden,Korea Republic,1,1
Mexico,Sweden,0,0
Costa Rica,Mexico,1,2
France,Sweden,1,1
Germany,Argentina,2,2
Mexico,Colombia,1,1
Panama,Costa Rica,0,1
Mexico,Argentina,1,1
Iran,Japan,2,1
Saudi Arabia,Korea Republic,2,0
Costa Rica,Panama,2,1
Croatia,Iceland,4,0
France,Switzerland,0,0
Brazil,Peru,1,0
Argentina,Colombia,1,0
Panama,Mexico,1,1
Uruguay,Brazil,1,1
Mexico,Poland,1,1
Japan,Peru,0,1
Colombia,England,2,3
Colombia,Peru,5,0
Peru,Uruguay,0,0
Argentina,Brazil,3,1
Germany,Russia,2,2
Argentina,Tunisia,2,1
Germany,Australia,4,3
Japan,Mexico,1,2
Australia,Argentina,2,4
Germany,Tunisia,3,0
Mexico,Brazil,1,0
Australia,Tunisia,0,2
Germany,Argentina,2,2
Japan,Brazil,2,2
Germany,Brazil,2,3
Mexico,Argentina,1,1
Brazil,Argentina,4,1
Germany,Mexico,4,3
Colombia,Panama,0,1
Mexico,Colombia,1,2
Colombia,Panama,2,3
Korea Republic,Japan,0,1
Poland,Serbia,3,2
Croatia,Brazil,1,1
Denmark,England,4,1
Japan,Iran,2,1
Korea Republic,Saudi Arabia,0,1
Mexico,Costa Rica,2,0
Spain,Uruguay,2,0
Iceland,Croatia,1,3
Panama,Costa Rica,1,3
Algeria,Nigeria,2,5
Uruguay,Colombia,3,2
Mexico,Panama,5,0
Russia,Portugal,0,0
Spain,Serbia,1,1
Poland,Iceland,3,2
Belgium,Spain,0,2
Croatia,Sweden,1,0
Switzerland,France,1,1
Tunisia,Morocco,2,2
Argentina,Peru,2,0
England,Poland,2,1
Korea Republic,Iran,2,0
Sweden,Iceland,3,1
Uruguay,Argentina,1,0
Mexico,Uruguay,3,1
France,Costa Rica,3,2
England,Argentina,3,2
France,Germany,0,0
Korea Republic,Sweden,2,2
Portugal,Croatia,2,0
Uruguay,Australia,1,0
Australia,Uruguay,1,0
Korea Republic,Serbia,2,0
Saudi Arabia,Sweden,1,1
Korea Republic,Croatia,2,0
Nigeria,Senegal,2,1
Nigeria,Tunisia,1,1
Senegal,Nigeria,0,1
Costa Rica,Korea Republic,1,0
Mexico,Korea Republic,0,1
Argentina,Croatia,2,3
England,Uruguay,2,1
Iran,Costa Rica,3,2
Russia,Brazil,0,1
Saudi Arabia,Portugal,0,3
Tunisia,Serbia,0,1
Saudi Arabia,Poland,1,2
Belgium,Saudi Arabia,2,1
Korea Republic,Senegal,1,1
France,Mexico,1,0
Spain,Russia,0,0
Croatia,Iran,2,2
Germany,Japan,2,2
Poland,Colombia,1,2
France,Denmark,2,0
Germany,Colombia,3,0
Tunisia,Uruguay,0,0
Croatia,Poland,0,1
Colombia,Morocco,2,0
Spain,Croatia,2,1
Germany,Costa Rica,4,2
Mexico,Iran,3,1
Australia,Japan,3,1
Brazil,Croatia,1,0
France,Switzerland,0,0
Germany,Poland,1,0
Tunisia,Saudi Arabia,2,2
Argentina,Serbia,6,0
Portugal,Iran,2,0
Brazil,Australia,2,0
France,Korea Republic,1,1
Japan,Croatia,0,0
Spain,Tunisia,3,1
Costa Rica,Poland,1,2
Sweden,England,2,2
Portugal,Mexico,2,1
Croatia,Australia,2,2
Japan,Brazil,1,4
Saudi Arabia,Spain,0,1
Switzerland,Korea Republic,2,0
Argentina,Mexico,2,1
Germany,Sweden,2,0
Spain,France,1,3
Germany,Argentina,1,1
Brazil,France,0,1
England,Portugal,0,0
Portugal,France,0,1
Germany,Portugal,3,1
Iceland,Spain,0,0
Denmark,Poland,2,0
Germany,Sweden,3,0
